"","CountryCode","AsylumSeekers","Region"
"1","TUR",975326,"Northern Africa and Western Asia"
"2","DEU",543085,"Europe and Northern America"
"3","AUT",145931,"Europe and Northern America"
"4","SWE",123356,"Europe and Northern America"
"5","GRC",102571,"Europe and Northern America"
"6","PAK",96720,"Central and Southern Asia"
"7","FRA",54643,"Europe and Northern America"
"8","IND",50630,"Central and Southern Asia"
"9","CHE",36734,"Europe and Northern America"
"10","NLD",35660,"Europe and Northern America"
"11","IDN",30551,"Eastern and Southeastern Asia"
"12","BEL",28366,"Europe and Northern America"
"13","GBR",25686,"Europe and Northern America"
"14","UKR",25528,"Europe and Northern America"
"15","BGR",22594,"Europe and Northern America"
"16","NOR",22163,"Europe and Northern America"
"17","AUS",17188,"Oceania"
"18","TJK",17045,"Central and Southern Asia"
"19","HUN",15391,"Europe and Northern America"
"20","ITA",13700,"Europe and Northern America"
"21","FIN",9429,"Europe and Northern America"
"22","CAN",9125,"Europe and Northern America"
"23","RUS",9005,"Europe and Northern America"
"24","DNK",8349,"Europe and Northern America"
"25","USA",7893,"Europe and Northern America"
"26","MYS",7743,"Eastern and Southeastern Asia"
"27","IRN",7049,"Central and Southern Asia"
"28","KWT",5689,"Northern Africa and Western Asia"
"29","AZE",4841,"Northern Africa and Western Asia"
"30","UZB",4264,"Central and Southern Asia"
"31","SYR",3756,"Northern Africa and Western Asia"
"32","SVK",3654,"Europe and Northern America"
"33","KGZ",3108,"Central and Southern Asia"
"34","ROU",2800,"Europe and Northern America"
"35","IRL",2524,"Europe and Northern America"
"36","ESP",1479,"Europe and Northern America"
"37","MKD",1392,"Europe and Northern America"
"38","HRV",1329,"Europe and Northern America"
"39","KAZ",1314,"Central and Southern Asia"
"40","CYP",1197,"Northern Africa and Western Asia"
"41","LUX",1183,"Europe and Northern America"
"42","BRA",980,"Latin America and the Caribbean"
"43","BLR",972,"Europe and Northern America"
"44","IRQ",881,"Northern Africa and Western Asia"
"45","POL",723,"Europe and Northern America"
"46","SRB",686,"Europe and Northern America"
"47","SVN",566,"Europe and Northern America"
"48","LKA",563,"Central and Southern Asia"
"49","BIH",480,"Europe and Northern America"
"50","CZE",374,"Europe and Northern America"
"51","KOR",372,"Eastern and Southeastern Asia"
"52","EGY",304,"Northern Africa and Western Asia"
"53","LTU",290,"Europe and Northern America"
"54","SAU",272,"Northern Africa and Western Asia"
"55","JPN",257,"Eastern and Southeastern Asia"
"56","NRU",214,"Oceania"
"57","ECU",204,"Latin America and the Caribbean"
"58","THA",195,"Eastern and Southeastern Asia"
"59","ARE",187,"Northern Africa and Western Asia"
"60","NZL",179,"Oceania"
"61","JOR",179,"Northern Africa and Western Asia"
"62","ISL",153,"Europe and Northern America"
"63","PNG",152,"Oceania"
"64","GEO",149,"Northern Africa and Western Asia"
"65","ZAF",149,"Sub-Saharan Africa"
"66","LVA",142,"Latin America and the Caribbean"
"67","LBN",138,"Northern Africa and Western Asia"
"68","CHN",94,"Eastern and Southeastern Asia"
"69","MNE",93,"Europe and Northern America"
"70","MDA",90,"Europe and Northern America"
"71","TKM",89,"Central and Southern Asia"
"72","HKG",80,"Eastern and Southeastern Asia"
"73","PAN",78,"Latin America and the Caribbean"
"74","PRT",66,"Europe and Northern America"
"75","NPL",65,"Central and Southern Asia"
"76","CHL",64,"Latin America and the Caribbean"
"77","OMN",64,"Northern Africa and Western Asia"
"78","CIV",47,"Sub-Saharan Africa"
"79","LBY",43,"Northern Africa and Western Asia"
"80","DOM",42,"Latin America and the Caribbean"
"81","FJI",41,"Oceania"
"82","KEN",38,"Sub-Saharan Africa"
"83","MEX",36,"Latin America and the Caribbean"
"84","CUB",34,"Latin America and the Caribbean"
"85","SEN",32,"Sub-Saharan Africa"
"86","MDG",24,"Sub-Saharan Africa"
"87","MLT",23,"Europe and Northern America"
"88","MAR",22,"Northern Africa and Western Asia"
"89","MRT",22,"Sub-Saharan Africa"
"90","ARM",21,"Northern Africa and Western Asia"
"91","URY",18,"Latin America and the Caribbean"
"92","COL",17,"Latin America and the Caribbean"
"93","PHL",17,"Eastern and Southeastern Asia"
"94","ARG",17,"Latin America and the Caribbean"
"95","EST",14,"Europe and Northern America"
"96","LIE",14,"Europe and Northern America"
"97","CYM",10,"Latin America and the Caribbean"
"98","MNG",10,"Eastern and Southeastern Asia"
"99","PER",10,"Latin America and the Caribbean"
"100","DZA",5,"Northern Africa and Western Asia"
"101","AFG",0,"Central and Southern Asia"
"102","KHM",0,"Eastern and Southeastern Asia"
"103","ETH",0,"Sub-Saharan Africa"
"104","QAT",0,"Northern Africa and Western Asia"
"105","ZWE",0,"Sub-Saharan Africa"
"106","TCD",0,"Sub-Saharan Africa"
"107","VEN",0,"Latin America and the Caribbean"
"108","NGA",0,"Sub-Saharan Africa"
"109","RWA",0,"Sub-Saharan Africa"
"110","SDN",0,"Sub-Saharan Africa"
